placeID,rating,geoplaces2.latitude,geoplaces2.longitude,geoplaces2.name,geoplaces2.address,geoplaces2.city,geoplaces2.state,geoplaces2.country,geoplaces2.zip,geoplaces2.PriceDollar
135049,0,22.135011,-101.0286,Restaurante de Mariscos la Langosta,Cordillera de Los Alpes 675 Loma Verde,San Luis Potosí,San Luis Potosí,Mexico,78214,$$
135049,0,22.135011,-101.0286,Restaurante de Mariscos la Langosta,Cordillera de Los Alpes 675 Loma Verde,San Luis Potosí,San Luis Potosí,Mexico,78214,$$
135049,1,22.135011,-101.0286,Restaurante de Mariscos la Langosta,Cordillera de Los Alpes 675 Loma Verde,San Luis Potosí,San Luis Potosí,Mexico,78214,$$
135049,2,22.135011,-101.0286,Restaurante de Mariscos la Langosta,Cordillera de Los Alpes 675 Loma Verde,San Luis Potosí,San Luis Potosí,Mexico,78214,$$
135049,2,22.135011,-101.0286,Restaurante de Mariscos la Langosta,Cordillera de Los Alpes 675 Loma Verde,San Luis Potosí,San Luis Potosí,Mexico,78214,$$
132884,0,22.1395776,-101.0278863,dairy queen,,Escalerillas,San Luis Potosí,Mexico,,$
132884,0,22.1395776,-101.0278863,dairy queen,,Escalerillas,San Luis Potosí,Mexico,,$
132884,2,22.1395776,-101.0278863,dairy queen,,Escalerillas,San Luis Potosí,Mexico,,$
132884,2,22.1395776,-101.0278863,dairy queen,,Escalerillas,San Luis Potosí,Mexico,,$
132884,1,22.1395776,-101.0278863,dairy queen,,Escalerillas,San Luis Potosí,Mexico,,$
132884,2,22.1395776,-101.0278863,dairy queen,,Escalerillas,San Luis Potosí,Mexico,,$
135034,2,22.140517,-101.021422,Michiko Restaurant Japones,Cordillera de Los Alpes 160 Lomas 2 Seccion,San Luis Potosí,San Luis Potosí,Mexico,78210,$$
135034,2,22.140517,-101.021422,Michiko Restaurant Japones,Cordillera de Los Alpes 160 Lomas 2 Seccion,San Luis Potosí,San Luis Potosí,Mexico,78210,$$
135034,2,22.140517,-101.021422,Michiko Restaurant Japones,Cordillera de Los Alpes 160 Lomas 2 Seccion,San Luis Potosí,San Luis Potosí,Mexico,78210,$$
135034,2,22.140517,-101.021422,Michiko Restaurant Japones,Cordillera de Los Alpes 160 Lomas 2 Seccion,San Luis Potosí,San Luis Potosí,Mexico,78210,$$
135034,2,22.140517,-101.021422,Michiko Restaurant Japones,Cordillera de Los Alpes 160 Lomas 2 Seccion,San Luis Potosí,San Luis Potosí,Mexico,78210,$$
132723,1,22.1489337,-101.019845,Gordas de morales,,San Luis Potosí,San Luis Potosí,Mexico,,$$
132723,2,22.1489337,-101.019845,Gordas de morales,,San Luis Potosí,San Luis Potosí,Mexico,,$$
132723,1,22.1489337,-101.019845,Gordas de morales,,San Luis Potosí,San Luis Potosí,Mexico,,$$
132723,1,22.1489337,-101.019845,Gordas de morales,,San Luis Potosí,San Luis Potosí,Mexico,,$$
132723,2,22.1489337,-101.019845,Gordas de morales,,San Luis Potosí,San Luis Potosí,Mexico,,$$
132723,2,22.1489337,-101.019845,Gordas de morales,,San Luis Potosí,San Luis Potosí,Mexico,,$$
132723,1,22.1489337,-101.019845,Gordas de morales,,San Luis Potosí,San Luis Potosí,Mexico,,$$
132723,2,22.1489337,-101.019845,Gordas de morales,,San Luis Potosí,San Luis Potosí,Mexico,,$$
132723,2,22.1489337,-101.019845,Gordas de morales,,San Luis Potosí,San Luis Potosí,Mexico,,$$
132723,0,22.1489337,-101.019845,Gordas de morales,,San Luis Potosí,San Luis Potosí,Mexico,,$$
132723,2,22.1489337,-101.019845,Gordas de morales,,San Luis Potosí,San Luis Potosí,Mexico,,$$
132723,1,22.1489337,-101.019845,Gordas de morales,,San Luis Potosí,San Luis Potosí,Mexico,,$$
132755,2,22.153324,-101.0195459,La Estrella de Dimas,Av. de los Pintores,San Luis Potosí,San Luis Potosí,Mexico,,$$
